src,teamSrc,team,name
https://cdn.nba.com/headshots/nba/latest/260x190/203471.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,Boston Celtics,Dennis Schroder
https://cdn.nba.com/headshots/nba/latest/260x190/1630206.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,LA Clippers,Jay Scrubb
https://cdn.nba.com/headshots/nba/latest/260x190/1627782.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,New York Knicks,Wayne Selden
https://cdn.nba.com/headshots/nba/latest/260x190/1630578.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,Houston Rockets,Alperen Sengun
https://cdn.nba.com/headshots/nba/latest/260x190/1629012.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,Cleveland Cavaliers,Collin Sexton
https://cdn.nba.com/headshots/nba/latest/260x190/1629013.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,Phoenix Suns,Landry Shamet
https://cdn.nba.com/headshots/nba/latest/260x190/1630549.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,Brooklyn Nets,Day'Ron Sharpe
https://cdn.nba.com/headshots/nba/latest/260x190/1627783.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,Toronto Raptors,Pascal Siakam
https://cdn.nba.com/headshots/nba/latest/260x190/1627732.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,Philadelphia 76ers,Ben Simmons
https://cdn.nba.com/headshots/nba/latest/260x190/1630250.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,Chicago Bulls,Marko Simonovic
https://cdn.nba.com/headshots/nba/latest/260x190/1629014.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,Portland Trail Blazers,Anfernee Simons
https://cdn.nba.com/headshots/nba/latest/260x190/1630579.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,New York Knicks,Jericho Sims
https://cdn.nba.com/headshots/nba/latest/260x190/203935.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,Boston Celtics,Marcus Smart
https://cdn.nba.com/headshots/nba/latest/260x190/1630607.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,Detroit Pistons,Chris Smith
https://cdn.nba.com/headshots/nba/latest/260x190/202397.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,Charlotte Hornets,Ish Smith
https://cdn.nba.com/headshots/nba/latest/260x190/1630188.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,Phoenix Suns,Jalen Smith
https://cdn.nba.com/headshots/nba/latest/260x190/1628372.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,Portland Trail Blazers,Dennis Smith
https://cdn.nba.com/headshots/nba/latest/260x190/203503.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,Portland Trail Blazers,Tony Snell
https://cdn.nba.com/headshots/nba/latest/260x190/1630531.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,Philadelphia 76ers,Jaden Springer
https://cdn.nba.com/headshots/nba/latest/260x190/1630205.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,Cleveland Cavaliers,Lamar Stevens
https://cdn.nba.com/headshots/nba/latest/260x190/1630191.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,Detroit Pistons,Isaiah Stewart
https://cdn.nba.com/headshots/nba/latest/260x190/1629622.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,Miami Heat,Max Strus
https://cdn.nba.com/headshots/nba/latest/260x190/1630591.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,Orlando Magic,Jalen Suggs
https://cdn.nba.com/headshots/nba/latest/260x190/1630256.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,Houston Rockets,Jae'Sean Tate
https://cdn.nba.com/headshots/nba/latest/260x190/1628369.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,Boston Celtics,Jayson Tatum
https://cdn.nba.com/headshots/nba/latest/260x190/202066.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,New Orleans Pelicans,Garrett Temple
https://cdn.nba.com/headshots/nba/latest/260x190/1628464.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,Houston Rockets,Daniel Theis
https://cdn.nba.com/headshots/nba/latest/260x190/1630271.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,Boston Celtics,Brodric Thomas
https://cdn.nba.com/headshots/nba/latest/260x190/1630560.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,Brooklyn Nets,Cam Thomas
https://cdn.nba.com/headshots/nba/latest/260x190/1629744.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,Chicago Bulls,Matt Thomas
https://cdn.nba.com/headshots/nba/latest/260x190/202691.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,Golden State Warriors,Klay Thompson
https://cdn.nba.com/headshots/nba/latest/260x190/202684.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,Sacramento Kings,Tristan Thompson
https://cdn.nba.com/headshots/nba/latest/260x190/1630550.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,Charlotte Hornets,JT Thor
https://cdn.nba.com/headshots/nba/latest/260x190/1629680.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,Philadelphia 76ers,Matisse Thybulle
https://cdn.nba.com/headshots/nba/latest/260x190/1629681.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,Memphis Grizzlies,Killian Tillie
https://cdn.nba.com/headshots/nba/latest/260x190/1630214.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,Memphis Grizzlies,Xavier Tillman
https://cdn.nba.com/headshots/nba/latest/260x190/1630225.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,Washington Wizards,Isaiah Todd
